sampleID,seq_sampleID,Date,transect_no,sample_no,Depth (m),Location,latitude,longitude,niskin_time,freeze_time,Volume filtered (ml SW),field_notes,extraction_date,elution_volume,nanodrop_dna,nanodrop_260-230,nanodrop_260-280,COI_16S_18S_PCR_dilutions,COI_16S_18S_qPCR_dilutions,12S_dilutions,16S_spike_copies,16Sin_qPCR_quantity,16S_qPCR_quantity,16SV4V5_seq,16S_DADA2_reads,16S_spike_main_ASV,18S_spike_copies,18S_qPCR_quantity,18SV4_seq,18S_DADA2_reads,18S_spike_main_ASV,12S_qPCR_quantity,12S_DADA2_reads,COI_spike_copies,COI_qPCR_quantity,uL_per_qPCR_reaction,uL_per_PCR_reaction,16Sin extraction efficiency,DNA (ng/L SW),DNA (μg/L SW),12S copies/L SW,16S copies/L SW,18S copies/L SW,COI copies/L SW,12S copies/L SW * eff,16S copies/L SW * eff,18S copies/L SW * eff,COI copies/L SW * eff,16S_spike_ratios,18S_spike_ratios,16S_quant_reads,18S_quant_reads,16S seq/L SW,18S seq/L SW
BBT11-8B,BBT11_8B_2023Jul25_Tufts_6m,2023-07-25,11,8,6,Tufts Cove,44.40472,-63.35701,13:05:00,13:18:00,900,NA,2024-06-11,100,92.8,1.74,1.86,0.25,0.01,1,500000000,106263,745077,original,27897,30,1000000,467825,original,42892,120,83,10256,10000000,10922,5,2,0.425052,10311.111111111111,10.311111111111112,1844.4444444444448,1655726666.6666667,1039611111.1111112,24271111.11111111,4339.338350235841,3895350843.3477945,2445844534.5772076,57101510.19430826,0.0010753844499408539,0.002797724517392521,464950000000,357433333.3333333,4861627387812.42,3737407640.930033
BBT11-9B,BBT11_9B_2023Jul25_McNabsIsland_1m,2023-07-25,11,9,1,McNabs Island,NA,NA,15:59:00,16:10:00,420,NA,2024-06-11,100,65.8,1.53,1.82,0.25,0.01,1,500000000,58615,620938,original,52311,48,1000000,79372,original,48667,724,94,NA,10000000,9546,5,2,0.23446,15666.666666666666,15.666666666666666,4476.190476190476,2956847619.047619,377961904.7619047,45457142.85714286,19091.488851789116,12611309473.034286,1612052822.493836,193880162.31827545,9.175890348110341e-4,0.01487661043417511,544906250000,67219613.25966851,22134194887543.008,2730473398.2309303
BBT11-BL1,BBT11_Blank1_2023Jul25_CoolerBlank_0m,2023-07-25,11,Blank1,0,Cooler blank 1,NA,NA,14:00:00,14:09:00,940,NA,2024-06-11,100,6.4,0.78,1.82,1,0.01,1,500000000,40011,25384,original,12246,3797,1000000,1028,original,9989,7315,76,24516,10000000,29,5,2,0.160044,680.8510638297872,0.6808510638297872,1617.0212765957447,54008510.63829787,2187234.0425531915,61702.127659574464,10103.604487489345,337460389.88214415,13666454.49097243,385532.27649630397,0.3100604278948228,0.7323055360896986,1612588885.9626021,1365550.2392344498,10719052832.031048,9076960.213829827
BBT11-BL2,BBT11_Blank2_2023Jul25_CoolerBlank_0m,2023-07-25,11,Blank2,0,Cooler blank 2,NA,NA,15:31:00,15:38:00,1100,NA,2024-06-11,100,12.2,0.7,1.62,1,0.01,1,500000000,57660,48384,original,4200,2327,1000000,2239,original,40235,16157,75,11481,10000000,61,5,2,0.23064,1109.0909090909092,1.1090909090909091,1363.6363636363635,87970909.0909091,4070909.090909091,110909.09090909091,5912.401854129222,381420868.41358435,17650490.33519377,480875.35080250993,0.554047619047619,0.40156580091959737,902449505.8014611,2490251.9031998515,3557096087.5723715,9815579.979818417
BBT12-1B,BBT12_1B_2023Aug31_Tufts_1m,2023-08-31,12,1,1,Tufts Cove,44.4039,-63.3568,09:11:00,09:23:00,350,NA,2024-06-10,100,70,1.59,1.82,0.25,0.01,1,500000000,153856,631220,original,17840,34,1000000,250068,original,77151,1222,65,16879,10000000,11097,5,2,0.615424,20000,20,3714.285714285714,3606971428.571429,1428960000,63411428.571428575,6035.328024720703,5860953470.406466,2321911397.6705494,103036977.06203945,0.001905829596412556,0.015839068839029954,262352941176.47058,63135024.54991817,4871957102308.478,1172432563.100156
BBT12-10B,BBT12_10B_2023Aug31_McNabsIsland_34m,2023-08-31,12,10,34,McNabs Island,44.3689,-63.32757,15:11:00,15:23:00,1180,Deep sampled before surface,2024-06-10,150,46.8,0.85,1.6,0.5,0.01,1,500000000,56910,195716,original,9219,50,1000000,57499,original,11188,367,31,14753,10000000,1872,5,2,0.34146,5949.152542372882,5.9491525423728815,788.135593220339,497583050.8474576,146183898.30508476,4759322.033898304,2308.1344614898935,1457222078.2740517,428114269.03615284,13938153.909384131,0.0054235817333767216,0.03280300321773329,92190000000,30485013.6239782,457606270977.96405,151319377.4290172
BBT12-2B,BBT12_2B_2023Aug31_Tufts_16m,2023-08-31,12,2,16,Tufts Cove,44.4039,-63.3568,09:25:00,09:39:00,830,Niskin weights hit bottom,2024-06-10,100,53.3,1.37,1.81,0.5,0.01,1,500000000,97136,614490,original,8918,29,1000000,124112,original,34600,472,65,9868,10000000,6370,5,2,0.388544,6421.686746987952,6.421686746987952,1566.2650602409637,1480698795.180723,299065060.2409639,15349397.590361446,4031.1137483553052,3810890903.4259253,769707060.8244212,39504914.73388199,0.0032518501906257007,0.013641618497109827,153758620689.65518,73305084.7457627,953566907369.5654,454617130.68153054
BBT12-3B,BBT12_3B_2023Aug31_McKayBridge_1m,2023-08-31,12,3,1,McKay bridge,44.40635,-63.36859,10:01:00,10:20:00,390,Fell on deck,2024-06-10,100,90.7,1.28,1.79,0.25,0.01,1,500000000,109588,823152,original,11362,9,1000000,200804,original,5462,53,64,16434,10000000,12077,5,2,0.438352,23256.410256410254,23.256410256410255,3282.0512820512818,4221292307.692308,1029764102.5641026,61933333.333333336,7487.25061606034,9629914561.111408,2349171676.105282,141286758.8908761,7.921140644252772e-4,0.009703405346027096,631222222222.2222,103056603.7735849,14769121788138.467,2411283187.790187
BBT12-4B,BBT12_4B_2023Aug31_McKayBridge_28m,2023-08-31,12,4,28,McKay bridge,44.40635,-63.36859,10:24:00,10:39:00,1260,NA,2024-06-10,100,38.1,1.15,1.78,0.5,0.01,1,500000000,116653,527022,original,6010,28,1000000,127734,original,19743,647,41,15616,10000000,3777,5,2,0.466612,3023.809523809524,3.0238095238095237,650.7936507936507,836542857.1428572,202752380.95238096,5995238.095238095,1394.7212047560943,1792801850.665772,434520288.70320725,12848443.87893602,0.004658901830282862,0.032771108747404146,107321428571.42857,30514683.15301391,365081639398.26337,103803599.14615136
BBT12-5B,BBT12_5B_2023Aug31_DRDCBarge_1m,2023-08-31,12,5,1,DRDC barge,44.41122,-63.39046,12:08:00,12:26:00,320,Deep sampled before surface,2024-06-10,100,82.2,1.85,1.85,0.25,0.01,1,500000000,83417,497694,original,29984,49,1000000,122374,original,10922,416,75,18130,10000000,7795,5,2,0.333668,25687.5,25.6875,4687.5,3110587500,764837500,48718750,14048.395411007348,9322402807.581188,2292211120.035484,146009656.3050697,0.001634204909284952,0.03808826222303607,305959183673.46936,26254807.692307692,11461961578330.455,983567786.4039888
BBT12-6B,BBT12_6B_2023Aug31_DRDCBarge_48m,2023-08-31,12,6,48,DRDC barge,44.41122,-63.39046,11:54:00,12:06:00,1020,Deep sampled before surface,2024-06-10,100,48.2,1.33,1.79,0.5,0.01,1,500000000,75733,295345,original,17346,58,1000000,300511,original,67077,612,1106,26390,10000000,2220,5,2,0.302932,4725.490196078432,4.7254901960784315,21686.274509803923,579107843.137255,589237254.9019608,4352941.176470588,71587.92900652267,1911676030.0570917,1945113936.1373537,14369367.30510672,0.003343710365502133,0.009123842747886758,149534482758.6207,109602941.1764706,967890048440.4363,709425639.4075277
BBT12-7B,BBT12_7B_2023Aug31_SackvilleRiver_1m,2023-08-31,12,7,1,Sackville River,44.43106,-63.40082,13:11:00,13:29:00,560,Deep sampled before surface,2024-06-10,100,74,1.85,1.87,0.25,0.01,1,500000000,97548,648589,original,21748,34,1000000,141938,original,15218,345,61,3161,10000000,7472,5,2,0.390192,13214.285714285714,13.214285714285714,2178.5714285714284,2316389285.714286,506921428.5714286,26685714.285714287,5583.331868852843,5936537104.0777,1299158948.8544834,68391238.89191549,0.0015633621482435166,0.02267052175055855,319823529411.7647,44110144.927536234,5854691489094.101,807480583.3233792
