sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT12-4B	BBT12_4B_2023Aug31_McKayBridge_28m	2023-08-31	12	4	28	McKay bridge	44.40635	-63.36859	10:24	10:39	1260		2024-06-10	100	38.1	1.15	1.78	0.5	0.01	1	500000000	116653	527022	original	6010	28	1000000	127734	original	19743	647	41	15616	10000000	3777
BBT12-5B	BBT12_5B_2023Aug31_DRDCBarge_1m	2023-08-31	12	5	1	DRDC barge	44.41122	-63.39046	12:08	12:26	320	Deep sampled before surface	2024-06-10	100	82.2	1.85	1.85	0.25	0.01	1	500000000	83417	497694	original	29984	49	1000000	122374	original	10922	416	75	18130	10000000	7795
BBT12-6B	BBT12_6B_2023Aug31_DRDCBarge_48m	2023-08-31	12	6	48	DRDC barge	44.41122	-63.39046	11:54	12:06	1020	Deep sampled before surface	2024-06-10	100	48.2	1.33	1.79	0.5	0.01	1	500000000	75733	295345	original	17346	58	1000000	300511	original	67077	612	1106	26390	10000000	2220
BBT12-7B	BBT12_7B_2023Aug31_SackvilleRiver_1m	2023-08-31	12	7	1	Sackville River	44.43106	-63.40082	13:11	13:29	560	Deep sampled before surface	2024-06-10	100	74	1.85	1.87	0.25	0.01	1	500000000	97548	648589	original	21748	34	1000000	141938	original	15218	345	61	3161	10000000	7472
BBT12-8B	BBT12_8B_2023Aug31_SackvilleRiver_16m	2023-08-31	12	8	16	Sackville River	44.43106	-63.40082	12:57	13:09	670	Deep sampled before surface	2024-06-10	150	52.1	0.95	1.66	0.5	0.01	1	500000000	76660	265987	cleaned	10475	55	1000000	49774	cleaned	46539	921	20	18536	10000000	3806
BBT12-9B	BBT12_9B_2023Aug31_McNabsIsland_1m	2023-08-31	12	9	1	McNabs Island	44.3689	-63.32757	15:28	15:41	620	Deep sampled before surface	2024-06-10	150	60	1.67	1.82	0.25	0.01	1	500000000	123353	510180	original	24304	38	1000000	131516	original	42539	549	39	22392	10000000	8300
BBT12-BL1	BBT12_Blank1_2023Aug31_CoolerBlank_0m	2023-08-31	12	Blank1	0	Cooler blank 1	N/A	N/A	9:00	9:06	1000		2024-06-10	100	10.2	0.8	2.02	1	0.01	1	500000000	65807	101905	original	11869	3646	1000000	11086	original	50637	12657	40	27179	10000000	143
BBT12-BL2	BBT12_Blank2_2023Aug31_CoolerBlank_0m	2023-08-31	12	Blank2	0	Cooler blank 2	N/A	N/A	13:40	13:46	1000		2024-06-10	100	15.6	0.7	1.58	1	0.01	1	500000000	51283	40845	original	19532	5865	1000000	859	original	11231	9797	113	24553	10000000	62
BBT13-1B	BBT13_1B_2023Sep25_Tufts_10m	2023-09-25	13	1	10	Tufts Cove	44.40472	-63.35711	9:47	9:58	1150		2024-06-07	100	62	1.94	1.91	0.25	0.01	1	500000000	62766	386874	original	16924	22	1000000	212876	original	25472	524	406	32740	10000000	5122
BBT13-10B	BBT13_10B_2023Sep25_McNabsIsland_1m	2023-09-25	13	10	1	McNabs Island	44.37006	-63.32841	16:40	16:46	590		2024-06-07	100	66.1	1.55	1.86	0.25	0.01	1	500000000	19055	368480	original	23952	72	1000000	228281	original	42588	768	52	29786	10000000	5331
